,problem,dims,count
0,for-loop-index,cn128_cs4,1
1,for-loop-index,cn16_cs32,5
2,for-loop-index,cn1_cs512,0
3,for-loop-index,cn256_cs2,0
4,for-loop-index,cn2_cs256,12
5,for-loop-index,cn32_cs16,3
6,for-loop-index,cn4_cs128,6
7,for-loop-index,cn64_cs8,3
8,for-loop-index,cn8_cs64,12
9,median,cn128_cs4,0
10,median,cn16_cs32,10
11,median,cn1_cs512,25
12,median,cn256_cs2,0
13,median,cn2_cs256,27
14,median,cn32_cs16,6
15,median,cn4_cs128,21
16,median,cn64_cs8,1
17,median,cn8_cs64,14
18,small-or-large,cn128_cs4,0
19,small-or-large,cn16_cs32,0
20,small-or-large,cn1_cs512,2
21,small-or-large,cn256_cs2,0
22,small-or-large,cn2_cs256,1
23,small-or-large,cn32_cs16,0
24,small-or-large,cn4_cs128,0
25,small-or-large,cn64_cs8,0
26,small-or-large,cn8_cs64,0
27,smallest,cn128_cs4,0
28,smallest,cn16_cs32,11
29,smallest,cn1_cs512,28
30,smallest,cn256_cs2,0
31,smallest,cn2_cs256,24
32,smallest,cn32_cs16,10
33,smallest,cn4_cs128,25
34,smallest,cn64_cs8,0
35,smallest,cn8_cs64,14
