,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,50
2,compare-string-lengths,cn1_cs512,29
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,45
5,compare-string-lengths,cn32_cs16,41
6,compare-string-lengths,cn4_cs128,46
7,compare-string-lengths,cn64_cs8,2
8,compare-string-lengths,cn8_cs64,49
9,median,cn128_cs4,0
10,median,cn16_cs32,39
11,median,cn1_cs512,25
12,median,cn256_cs2,0
13,median,cn2_cs256,35
14,median,cn32_cs16,41
15,median,cn4_cs128,41
16,median,cn64_cs8,27
17,median,cn8_cs64,38
18,small-or-large,cn128_cs4,0
19,small-or-large,cn16_cs32,5
20,small-or-large,cn1_cs512,2
21,small-or-large,cn256_cs2,0
22,small-or-large,cn2_cs256,2
23,small-or-large,cn32_cs16,0
24,small-or-large,cn4_cs128,10
25,small-or-large,cn64_cs8,0
26,small-or-large,cn8_cs64,10
27,smallest,cn128_cs4,37
28,smallest,cn16_cs32,47
29,smallest,cn1_cs512,28
30,smallest,cn256_cs2,0
31,smallest,cn2_cs256,39
32,smallest,cn32_cs16,46
33,smallest,cn4_cs128,45
34,smallest,cn64_cs8,43
35,smallest,cn8_cs64,44
