,problem,dims,count
0,compare-string-lengths,cn128_cs4,18
1,compare-string-lengths,cn16_cs32,35
2,compare-string-lengths,cn256_cs2,9
3,compare-string-lengths,cn2_cs256,36
4,compare-string-lengths,cn32_cs16,24
5,compare-string-lengths,cn4_cs128,31
6,compare-string-lengths,cn64_cs8,23
7,compare-string-lengths,cn8_cs64,36
8,for-loop-index,cn128_cs4,3
9,for-loop-index,cn16_cs32,1
10,for-loop-index,cn256_cs2,0
11,for-loop-index,cn2_cs256,2
12,for-loop-index,cn32_cs16,1
13,for-loop-index,cn4_cs128,1
14,for-loop-index,cn64_cs8,1
15,for-loop-index,cn8_cs64,2
16,median,cn128_cs4,22
17,median,cn16_cs32,27
18,median,cn256_cs2,4
19,median,cn2_cs256,29
20,median,cn32_cs16,25
21,median,cn4_cs128,25
22,median,cn64_cs8,28
23,median,cn8_cs64,31
24,small-or-large,cn128_cs4,0
25,small-or-large,cn16_cs32,2
26,small-or-large,cn256_cs2,0
27,small-or-large,cn2_cs256,2
28,small-or-large,cn32_cs16,0
29,small-or-large,cn4_cs128,1
30,small-or-large,cn64_cs8,0
31,small-or-large,cn8_cs64,1
32,smallest,cn128_cs4,13
33,smallest,cn16_cs32,28
34,smallest,cn256_cs2,2
35,smallest,cn2_cs256,29
36,smallest,cn32_cs16,28
37,smallest,cn4_cs128,25
38,smallest,cn64_cs8,19
39,smallest,cn8_cs64,27
