,problem,dims,count
0,compare-string-lengths,cn128_cs4,3
1,compare-string-lengths,cn16_cs32,6
2,compare-string-lengths,cn256_cs2,4
3,compare-string-lengths,cn2_cs256,11
4,compare-string-lengths,cn32_cs16,6
5,compare-string-lengths,cn4_cs128,6
6,compare-string-lengths,cn64_cs8,5
7,compare-string-lengths,cn8_cs64,10
8,for-loop-index,cn128_cs4,4
9,for-loop-index,cn16_cs32,2
10,for-loop-index,cn256_cs2,0
11,for-loop-index,cn2_cs256,2
12,for-loop-index,cn32_cs16,4
13,for-loop-index,cn4_cs128,2
14,for-loop-index,cn64_cs8,5
15,for-loop-index,cn8_cs64,1
16,median,cn128_cs4,1
17,median,cn16_cs32,2
18,median,cn256_cs2,0
19,median,cn2_cs256,4
20,median,cn32_cs16,0
21,median,cn4_cs128,3
22,median,cn64_cs8,2
23,median,cn8_cs64,1
24,small-or-large,cn128_cs4,0
25,small-or-large,cn16_cs32,0
26,small-or-large,cn256_cs2,0
27,small-or-large,cn2_cs256,0
28,small-or-large,cn32_cs16,0
29,small-or-large,cn4_cs128,0
30,small-or-large,cn64_cs8,0
31,small-or-large,cn8_cs64,0
32,smallest,cn128_cs4,0
33,smallest,cn16_cs32,6
34,smallest,cn256_cs2,0
35,smallest,cn2_cs256,5
36,smallest,cn32_cs16,3
37,smallest,cn4_cs128,5
38,smallest,cn64_cs8,2
39,smallest,cn8_cs64,3
0,compare-string-lengths,cn1_cs512,5
1,for-loop-index,cn1_cs512,4
2,median,cn1_cs512,1
3,small-or-large,cn1_cs512,0
4,smallest,cn1_cs512,0
